appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
439190;Stories: The Path of Destinies;2016-04-12;1;Spearhead Games;Spearhead Games;windows;0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie;RPG";"Adventure;RPG;Action";37;4138;609;272;303;1000000-2000000;10.99;['Action', 'Adventure', 'Indie', 'RPG'];Adventure;0.8717084474404887;2016;5.605802066295998
250260;Jazzpunk: Director's Cut;2014-02-07;1;Necrophone Games;Necrophone Games;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards";"Adventure;Indie";"Comedy;Indie;Adventure";24;4136;393;305;402;200000-500000;10.99;['Adventure', 'Indie'];Adventure;0.9132258776771914;2014;5.720311776607412
316790;Grim Fandango Remastered;2015-01-26;1;Double Fine Productions;Double Fine Productions;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Commentary available";Adventure;"Adventure;Classic;Point & Click";47;4129;471;285;322;500000-1000000;10.99;['Adventure'];Adventure;0.8976086956521739;2015;5.652489180268651
848450;Subnautica: Below Zero;2019-01-30;1;Unknown Worlds Entertainment;Unknown Worlds Entertainment;"windows;mac";0;"Single-player;Partial Controller Support";"Adventure;Indie;Early Access";"Early Access;Survival;Open World";0;4097;471;229;289;200000-500000;15.49;['Adventure', 'Indie', 'Early Access'];Adventure;0.896891418563923;2019;5.43372200355424
252410;SteamWorld Dig;2013-12-05;1;Image & Form Games;Image & Form Games;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie";"Platformer;Mining;Steampunk";24;4095;311;169;250;500000-1000000;6.99;['Action', 'Adventure', 'Indie'];Adventure;0.9294144348615524;2013;5.1298987149230735
327890;I am Bread;2015-04-09;1;Bossa Studios;Bossa Studios;"windows;mac";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie;Simulation";"Simulation;Funny;Comedy";35;4088;1174;146;168;500000-1000000;9.99;['Action', 'Adventure', 'Indie', 'Simulation'];Adventure;0.7768909160015204;2015;4.983606621708336
584980;Late Shift;2017-04-18;1;CtrlMovie;Wales Interactive;"windows;mac";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Indie";"Choices Matter;FMV;Choose Your Own Adventure";20;4059;525;308;387;200000-500000;9.99;['Adventure', 'Indie'];Adventure;0.8854712041884817;2017;5.730099782973574
104200;BEEP;2011-05-06;1;Big Fat Alien;Big Fat Alien;windows;0;"Single-player;Steam Trading Cards";"Adventure;Indie";"Indie;Platformer;Adventure";0;4036;731;140;147;500000-1000000;1.59;['Adventure', 'Indie'];Adventure;0.8466540801342564;2011;4.941642422609304
378610;Valley;2016-08-24;1;Blue Isle Studios;Blue Isle Studios;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie";"Adventure;First-Person;Exploration";30;4036;385;47;47;200000-500000;14.99;['Action', 'Adventure', 'Indie'];Adventure;0.9129156299479756;2016;3.8501476017100584
224460;Contrast;2013-11-15;1;Compulsion Games;Focus Home Interactive;windows;0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Indie";"Female Protagonist;Noir;Indie";22;4028;415;91;91;200000-500000;8.49;['Adventure', 'Indie'];Adventure;0.9065946432590591;2013;4.51085950651685
