appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
570;Dota 2;2013-07-09;1;Valve;Valve;"windows;mac;linux";0;"Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled";"Action;Free to Play;Strategy";"Free to Play;MOBA;Strategy";0;863507;142079;23944;801;100000000-200000000;0.0;['Action', 'Free to Play', 'Strategy'];Strategy;0.8587102445738107;2013;10.083473049532534
8930;Sid Meier's Civilization® V;2010-09-23;1;"Firaxis Games;Aspyr (Mac);Aspyr (Linux)";"2K;Aspyr (Mac);Aspyr (Linux)";"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud";Strategy;"Turn-Based Strategy;Strategy;Turn-Based";286;129030;5565;4760;1797;5000000-10000000;19.99;['Strategy'];Strategy;0.958653738994762;2010;8.468002947225466
107410;Arma 3;2013-09-12;1;Bohemia Interactive;Bohemia Interactive;windows;0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor";"Action;Simulation;Strategy";"Simulation;Military;Multiplayer";104;105034;12524;18823;3621;2000000-5000000;29.99;['Action', 'Simulation', 'Strategy'];Strategy;0.8934653532724273;2013;9.842834805324179
222880;Insurgency;2014-01-22;1;New World Interactive;New World Interactive;"windows;mac;linux";0;"Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor";"Action;Indie;Strategy";"FPS;Realistic;Tactical";100;92355;9570;712;245;2000000-5000000;6.99;['Action', 'Indie', 'Strategy'];Strategy;0.9061074319352465;2014;6.568077911411976
255710;Cities: Skylines;2015-03-10;1;Colossal Order Ltd.;Paradox Interactive;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor";"Simulation;Strategy";"City Builder;Simulation;Building";97;67553;6005;3225;444;5000000-10000000;22.99;['Simulation', 'Strategy'];Strategy;0.9183637401778189;2015;8.078688229229872
251570;7 Days to Die;2013-12-13;1;The Fun Pimps;The Fun Pimps Entertainment LLC;"windows;mac;linux";0;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor";"Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access";"Early Access;Survival;Zombies";43;60718;16905;2953;574;2000000-5000000;18.99;['Nudity', 'Violent', 'Gore', 'Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access'];Strategy;0.7822166110560015;2013;7.990576881743923
244850;Space Engineers;2019-02-28;1;Keen Software House;Keen Software House;windows;0;"Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor";"Action;Indie;Simulation;Strategy";"Space;Sandbox;Building";27;60221;9609;3739;1147;2000000-5000000;15.49;['Action', 'Indie', 'Simulation', 'Strategy'];Strategy;0.862394386366891;2019;8.226573474977114
221380;Age of Empires II HD;2013-04-09;1;"Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires";Microsoft Studios;windows;0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor";Strategy;"Strategy;RTS;Multiplayer";294;54090;3178;1569;619;5000000-10000000;14.99;['Strategy'];Strategy;0.9445065306977719;2013;7.358193752733032
427520;Factorio;2016-02-25;1;Wube Software LTD.;Wube Software LTD.;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Includes level editor";"Casual;Indie;Simulation;Strategy;Early Access";"Early Access;Base-Building;Resource Management";38;47918;723;10087;6880;1000000-2000000;21.0;['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access'];Strategy;0.9851359963816534;2016;9.219002745054835
305620;The Long Dark;2017-08-01;1;Hinterland Studio Inc.;Hinterland Studio Inc.;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Indie;Simulation;Strategy";"Survival;Open World;Exploration";40;45856;4298;760;227;1000000-2000000;23.79;['Adventure', 'Indie', 'Simulation', 'Strategy'];Strategy;0.914303943852933;2017;6.633318433280377
435150;Divinity: Original Sin 2 - Definitive Edition;2017-09-14;1;Larian Studios;Larian Studios;"windows;mac";0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor";"Adventure;RPG;Strategy";"RPG;Turn-Based;Story Rich";97;44145;2464;2938;1953;2000000-5000000;29.99;['Adventure', 'RPG', 'Strategy'];Strategy;0.9471346735609003;2017;7.9854843567338225
212680;FTL: Faster Than Light;2012-09-14;1;Subset Games;Subset Games;"windows;mac;linux";0;"Single-player;Steam Trading Cards";"Indie;Simulation;Strategy";"Rogue-like;Space;Indie";0;42641;1629;1111;633;2000000-5000000;6.99;['Indie', 'Simulation', 'Strategy'];Strategy;0.963203072057827;2012;7.01301578963963
363970;Clicker Heroes;2015-05-13;1;Playsaurus;Playsaurus;"windows;mac";0;"Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Stats";"Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy";"Clicker;Free to Play;Casual";111;42530;4734;9742;463;5000000-10000000;0.0;['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Strategy'];Strategy;0.8998392010832769;2015;9.184201714366488
262060;Darkest Dungeon®;2016-01-19;1;Red Hook Studios;Red Hook Studios;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud";"Indie;RPG;Strategy";"Turn-Based Combat;RPG;Dungeon Crawler";104;41544;6741;1121;619;2000000-5000000;18.99;['Indie', 'RPG', 'Strategy'];Strategy;0.8603914259086672;2016;7.02197642307216
236850;Europa Universalis IV;2013-08-13;1;Paradox Development Studio;Paradox Interactive;"windows;mac;linux";0;"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";"Simulation;Strategy";"Grand Strategy;Strategy;Historical";295;40346;8254;8138;4572;1000000-2000000;34.99;['Simulation', 'Strategy'];Strategy;0.830164609053498;2013;9.004299728561636
289070;Sid Meier’s Civilization® VI;2016-10-20;1;"Firaxis Games;Aspyr (Mac);Aspyr (Linux)";"2K;Aspyr (Mac);Aspyr (Linux)";"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop";Strategy;"Strategy;Turn-Based Strategy;Historical";241;39127;18325;3371;2390;2000000-5000000;49.99;['Strategy'];Strategy;0.6810380839657453;2016;8.12296471523406
294100;RimWorld;2018-10-17;1;Ludeon Studios;Ludeon Studios;"windows;mac;linux";0;"Single-player;Steam Workshop;Steam Cloud";"Indie;Simulation;Strategy";"Base-Building;Survival;Strategy";0;38556;857;5017;2106;1000000-2000000;27.79;['Indie', 'Simulation', 'Strategy'];Strategy;0.97825590541192;2018;8.520587424484253
200510;XCOM: Enemy Unknown;2012-10-11;1;"Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux)";"2K;Feral Interactive (Mac);Feral Interactive (Linux)";"windows;mac;linux";12;"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";Strategy;"Turn-Based Strategy;Tactical;Strategy";85;36630;2072;1470;1049;2000000-5000000;14.99;['Strategy'];Strategy;0.9464627151051626;2012;7.293017679772782
281990;Stellaris;2016-05-09;1;Paradox Development Studio;Paradox Interactive;"windows;mac;linux";0;"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";"Simulation;Strategy";"Space;Strategy;Grand Strategy";95;35327;10036;2729;1563;2000000-5000000;34.99;['Simulation', 'Strategy'];Strategy;0.7787624275290435;2016;7.911690520708339
394360;Hearts of Iron IV;2016-06-06;1;Paradox Development Studio;Paradox Interactive;"windows;mac;linux";0;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";"Simulation;Strategy";"Strategy;World War II;Grand Strategy";92;34711;5251;9413;4181;1000000-2000000;34.99;['Simulation', 'Strategy'];Strategy;0.8686001701616536;2016;9.14984699154722
231430;Company of Heroes 2;2013-06-25;1;"Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux)";"SEGA;Feral Interactive (Mac);Feral Interactive (Linux)";"windows;mac;linux";18;"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats";Strategy;"Strategy;World War II;RTS";452;32548;12038;1846;277;2000000-5000000;14.99;['Strategy'];Strategy;0.7300049342843045;2013;7.520776415062797
214950;Total War™: ROME II - Emperor Edition;2013-09-02;1;CREATIVE ASSEMBLY;SEGA;"windows;mac";0;"Single-player;Multi-player;Steam Trading Cards;Steam Cloud";Strategy;"Strategy;Turn-Based Strategy;Historical";188;31864;13423;5760;1287;2000000-5000000;29.99;['Strategy'];Strategy;0.7036014750369863;2013;8.658692753689937
233450;Prison Architect;2015-10-06;1;Introversion Software;Paradox Interactive;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor";"Indie;Simulation;Strategy";"Simulation;Building;Management";18;31687;2286;1472;717;2000000-5000000;23.79;['Indie', 'Simulation', 'Strategy'];Strategy;0.9327112707149795;2015;7.294377299288821
203770;Crusader Kings II;2012-02-14;1;Paradox Development Studio;Paradox Interactive;"windows;mac;linux";0;"Single-player;Multi-player;Steam Trading Cards";"RPG;Simulation;Strategy";"Grand Strategy;Strategy;Medieval";161;31668;4187;1366;272;2000000-5000000;29.99;['RPG', 'Simulation', 'Strategy'];Strategy;0.8832240970575931;2012;7.2196420401307355
364360;Total War: WARHAMMER;2016-05-24;1;"CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac)";"SEGA;Feral Interactive (Linux);Feral Interactive (Mac)";"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop";"Action;Strategy";"Strategy;Fantasy;War";185;29826;9878;3610;4356;1000000-2000000;39.99;['Action', 'Strategy'];Strategy;0.751208946201894;2016;8.191463051326927
268500;XCOM® 2;2016-02-04;1;"Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux)";"2K;Feral Interactive (Mac);Feral Interactive (Linux)";"windows;mac;linux";0;"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";Strategy;"Strategy;Turn-Based;Tactical";88;28774;7018;1891;1985;1000000-2000000;34.99;['Strategy'];Strategy;0.8039226642825212;2016;7.544861068658458
239820;Game Dev Tycoon;2013-08-29;1;Greenheart Games;Greenheart Games;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";"Casual;Indie;Simulation;Strategy";"Simulation;Management;Indie";35;27373;1436;807;492;1000000-2000000;6.99;['Casual', 'Indie', 'Simulation', 'Strategy'];Strategy;0.9501544656183831;2013;6.693323668269949
646570;Slay the Spire;2019-01-23;1;Mega Crit Games;Mega Crit Games;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards";"Indie;Strategy";"Card Game;Turn-Based;Rogue-like";43;26166;998;3034;1857;1000000-2000000;19.49;['Indie', 'Strategy'];Strategy;0.9632601973199824;2019;8.017637159908478
359320;Elite Dangerous;2015-04-02;1;Frontier Developments;Frontier Developments;windows;0;"Single-player;Multi-player;MMO;Co-op;VR Support;Partial Controller Support";"Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy";"Space Sim;Space;Open World";0;26143;11006;4545;2579;1000000-2000000;19.99;['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy'];Strategy;0.7037336132870333;2015;8.421783006611578
242920;Banished;2014-02-18;1;Shining Rock Software LLC;Shining Rock Software LLC;windows;0;"Single-player;Steam Achievements";"Indie;Simulation;Strategy";"City Builder;Strategy;Simulation";36;24653;2820;1209;825;1000000-2000000;14.99;['Indie', 'Simulation', 'Strategy'];Strategy;0.8973537655152332;2014;7.097548850614793
393380;Squad;2015-12-14;1;Offworld Industries;Offworld Industries;windows;0;"Multi-player;Online Multi-Player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Valve Anti-Cheat enabled";"Action;Indie;Strategy;Early Access";"Early Access;FPS;Military";0;23539;6008;3173;1563;500000-1000000;32.5;['Action', 'Indie', 'Strategy', 'Early Access'];Strategy;0.796662943784479;2015;8.062432791583195
323190;Frostpunk;2018-04-24;1;11 bit studios;11 bit studios;windows;16;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud";"Simulation;Strategy";"City Builder;Survival;Strategy";75;22952;3202;1084;618;1000000-2000000;24.99;['Simulation', 'Strategy'];Strategy;0.8775713084040682;2018;6.988413181999592
242860;Verdun;2015-04-28;1;"M2H;Blackmill Games";M2H;"windows;mac;linux";0;"Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards";"Action;Indie;Strategy";"World War I;FPS;Multiplayer";58;22048;4418;3846;5410;1000000-2000000;15.49;['Action', 'Indie', 'Strategy'];Strategy;0.8330688430439054;2015;8.254788926148725
493340;Planet Coaster;2016-11-17;1;Frontier Developments;Frontier Developments;windows;0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud";"Simulation;Strategy";"Simulation;Building;Management";32;22004;2828;1069;482;1000000-2000000;29.99;['Simulation', 'Strategy'];Strategy;0.8861146907216495;2016;6.974478911025045
440900;Conan Exiles;2018-05-08;1;Funcom;Funcom;windows;18;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop";"Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy";"Survival;Open World;Crafting";25;22001;9594;4431;5167;500000-1000000;33.99;['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy'];Strategy;0.6963443582845387;2018;8.39638057119949
204300;Awesomenauts - the 2D moba;2012-08-01;1;Ronimo Games;Ronimo Games;"windows;mac;linux";0;"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards;Includes level editor";"Action;Free to Play;Indie;Strategy";"MOBA;Multiplayer;Platformer";59;20770;3678;999;490;2000000-5000000;0.0;['Action', 'Free to Play', 'Indie', 'Strategy'];Strategy;0.8495582460732984;2012;6.906754778648554
246620;Plague Inc: Evolved;2016-02-18;1;Ndemic Creations;Ndemic Creations;"windows;mac;linux";0;"Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor";"Casual;Indie;Simulation;Strategy";"Strategy;Simulation;Indie";199;20081;1419;585;480;1000000-2000000;11.99;['Casual', 'Indie', 'Simulation', 'Strategy'];Strategy;0.934;2016;6.371611847231857
594570;Total War: WARHAMMER II;2017-09-28;1;"CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)";"SEGA;Feral Interactive (Mac);Feral Interactive (Linux)";"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards";"Action;Strategy";"Strategy;Fantasy;RTS";134;19420;2994;4721;2624;1000000-2000000;39.99;['Action', 'Strategy'];Strategy;0.8664227714821094;2017;8.459775920546287
838350;太吾绘卷 The Scroll Of Taiwu;2018-09-20;0;ConchShip Games;ConchShip Games;windows;0;Single-player;"Adventure;Casual;Indie;RPG;Strategy;Early Access";"Early Access;RPG;Sandbox";0;17938;2273;1270;873;2000000-5000000;15.49;['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy', 'Early Access'];Strategy;0.8875364900301815;2018;7.146772179452637
339800;HuniePop;2015-01-19;1;HuniePot;HuniePot;"windows;mac;linux";18;"Single-player;Steam Achievements;Steam Trading Cards";"Indie;RPG;Simulation;Strategy";"Nudity;Mature;Anime";20;17761;711;2741;780;500000-1000000;6.99;['Indie', 'RPG', 'Simulation', 'Strategy'];Strategy;0.9615093113902122;2015;7.916078096302786
33930;Arma 2: Operation Arrowhead;2010-06-29;1;Bohemia Interactive;Bohemia Interactive;windows;18;"Single-player;Multi-player;Co-op;Captions available;Partial Controller Support;Includes level editor";"Action;Simulation;Strategy";"Simulation;Action;Military";0;17683;1519;8488;1120;2000000-5000000;11.99;['Action', 'Simulation', 'Strategy'];Strategy;0.9208936569107384;2010;9.046408680293819
299740;Miscreated;2018-12-18;1;Entrada Interactive LLC;Entrada Interactive LLC;windows;0;"Multi-player;Online Multi-Player;MMO;Steam Achievements;Steam Trading Cards;Partial Controller Support;Valve Anti-Cheat enabled";"Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Strategy";"Survival;Open World;Multiplayer";29;17255;7903;619;675;500000-1000000;19.49;['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy'];Strategy;0.6858653311074012;2018;6.428105272684596
418460;Rising Storm 2: Vietnam;2017-05-30;1;"Antimatter Games;Tripwire Interactive";Tripwire Interactive;windows;0;"Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Stats;Includes level editor";"Action;Massively Multiplayer;Simulation;Strategy";"FPS;War;Multiplayer";132;17201;4777;1945;1773;500000-1000000;18.99;['Action', 'Massively Multiplayer', 'Simulation', 'Strategy'];Strategy;0.7826462826462827;2017;7.573017256052546
316010;Magic Duels;2015-07-29;1;Stainless Games Ltd.;Wizards of the Coast LLC;windows;0;"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud";"Free to Play;Strategy";"Free to Play;Card Game;Trading Card Game";49;16599;6912;1854;125;2000000-5000000;0.0;['Free to Play', 'Strategy'];Strategy;0.7060099527880567;2015;7.5251007461258
10500;Total War: EMPIRE – Definitive Edition;2009-03-04;1;"CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux)";"SEGA;Feral Interactive (Mac);Feral Interactive (Linux)";"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats";Strategy;"Strategy;Historical;Military";30;14928;1719;3176;1385;2000000-5000000;19.99;['Strategy'];Strategy;0.8967381510182014;2009;8.063377822367027
3590;Plants vs. Zombies GOTY Edition;2009-05-05;1;PopCap Games, Inc.;PopCap Games, Inc.;"windows;mac";0;"Single-player;Steam Achievements";Strategy;"Tower Defense;Zombies;Strategy";21;14630;454;480;374;1000000-2000000;4.25;['Strategy'];Strategy;0.9699018827897109;2009;6.173786103901937
447820;Day of Infamy;2017-03-23;1;New World Interactive;New World Interactive;"windows;mac;linux";0;"Online Multi-Player;Online Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Includes level editor;Includes Source SDK";"Action;Indie;Strategy";"World War II;FPS;Multiplayer";97;14349;3169;3902;7455;500000-1000000;11.39;['Action', 'Indie', 'Strategy'];Strategy;0.8191003539216806;2017;8.269244521183056
110800;L.A. Noire;2011-11-08;1;"Team Bondi;Rockstar Leeds";Rockstar Games;windows;18;"Single-player;Steam Achievements;Partial Controller Support";"Adventure;Strategy";"Detective;Crime;Open World";60;14096;2315;428;478;1000000-2000000;19.99;['Adventure', 'Strategy'];Strategy;0.8589360794588995;2011;6.059123195581797
105450;Age of Empires® III: Complete Collection;2012-01-05;1;Ensemble Studios;Microsoft Studios;windows;0;"Single-player;Multi-player;Steam Trading Cards";"Simulation;Strategy";"Strategy;RTS;Base-Building";0;13759;1801;902;211;2000000-5000000;29.99;['Simulation', 'Strategy'];Strategy;0.884254498714653;2012;6.804614520062624
334230;Town of Salem;2014-12-15;1;BlankMediaGames;BlankMediaGames;"windows;mac";0;"Multi-player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Steam Cloud";"Indie;RPG;Strategy";"Strategy;Multiplayer;Mystery";361;13329;2112;2101;927;500000-1000000;3.99;['Indie', 'RPG', 'Strategy'];Strategy;0.8632212939576452;2014;7.650168700845001
201790;Orcs Must Die! 2;2012-07-30;1;Robot Entertainment;Robot Entertainment;windows;0;"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Indie;Strategy";"Tower Defense;Co-op;Action";27;13321;682;429;244;2000000-5000000;11.99;['Action', 'Indie', 'Strategy'];Strategy;0.9512961508248232;2012;6.061456918928017
489520;Minion Masters;2016-12-02;1;BetaDwarf;BetaDwarf;windows;0;"Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud";"Action;Free to Play;Indie;Strategy;Early Access";"Early Access;Strategy;Card Game";38;13269;1687;381;192;500000-1000000;0.0;['Action', 'Free to Play', 'Indie', 'Strategy', 'Early Access'];Strategy;0.8872024605509494;2016;5.942799375126701
286160;Tabletop Simulator;2015-06-05;1;Berserk Games;Berserk Games;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor";"Casual;Indie;RPG;Simulation;Strategy";"Board Game;Simulation;Multiplayer";27;13243;777;729;452;1000000-2000000;14.99;['Casual', 'Indie', 'RPG', 'Simulation', 'Strategy'];Strategy;0.9445791726105564;2015;6.591673732008658
225260;Brutal Legend;2013-02-26;1;Double Fine Productions;Double Fine Productions;"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Strategy";"Action;Comedy;Adventure";59;12816;905;461;308;2000000-5000000;10.99;['Action', 'Adventure', 'Strategy'];Strategy;0.9340427082574156;2013;6.133398042996649
325610;Total War: ATTILA;2015-02-17;1;CREATIVE ASSEMBLY;SEGA;"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud";Strategy;"Strategy;Historical;War";118;12297;4469;2147;2926;1000000-2000000;29.99;['Strategy'];Strategy;0.7334486460694262;2015;7.671826797878781
466560;Northgard;2018-03-07;1;Shiro Games;Shiro Games;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud";"Indie;Simulation;Strategy";"Strategy;City Builder;Resource Management";133;12214;2314;601;430;500000-1000000;23.79;['Indie', 'Simulation', 'Strategy'];Strategy;0.8407213656387665;2018;6.398594934535208
210770;Sanctum 2;2013-05-15;1;Coffee Stain Studios;Coffee Stain Publishing;"windows;mac;linux";0;"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards";"Action;Indie;Strategy";"Tower Defense;FPS;Co-op";50;11629;1273;293;203;2000000-5000000;11.39;['Action', 'Indie', 'Strategy'];Strategy;0.9013331266470315;2013;5.680172609017068
298630;The Escapists;2015-02-13;1;Mouldy Toof Studios;Team17 Digital Ltd;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards";"Action;Adventure;Indie;Simulation;Strategy";"Pixel Graphics;Strategy;Crafting";37;11629;1432;826;590;1000000-2000000;12.99;['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy'];Strategy;0.8903606155730802;2015;6.716594773520978
326460;ShellShock Live;2015-03-11;1;kChamp Games;kChamp Games;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats";"Action;Casual;Indie;Massively Multiplayer;Strategy;Early Access";"Early Access;Tanks;Multiplayer";58;11426;1264;1218;1048;1000000-2000000;4.99;['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Strategy', 'Early Access'];Strategy;0.9003940110323089;2015;7.1049654482698426
244450;Men of War: Assault Squad 2;2014-05-15;1;Digitalmindsoft;1C Entertainment;windows;0;"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor";"Action;Simulation;Strategy";"Strategy;World War II;War";490;11389;2025;4678;6473;500000-1000000;19.99;['Action', 'Simulation', 'Strategy'];Strategy;0.849038318175041;2014;8.450625947144124
644930;They Are Billions;2017-12-12;1;Numantian Games;Numantian Games;windows;0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards";"Strategy;Early Access";"Early Access;Base-Building;Strategy";30;11377;1921;1712;1437;500000-1000000;19.49;['Strategy', 'Early Access'];Strategy;0.8555421867950068;2017;7.445417556701687
248570;Toribash;2014-05-16;1;Nabi Studios;Nicalis, Inc.;"windows;mac;linux";0;"Single-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Includes level editor";"Action;Free to Play;Indie;Strategy";"Free to Play;Fighting;Multiplayer";24;11143;1563;130;42;2000000-5000000;0.0;['Action', 'Free to Play', 'Indie', 'Strategy'];Strategy;0.8769872501180545;2014;4.867534450455582
383120;Empyrion - Galactic Survival;2015-08-05;1;Eleon Game Studios;Eleon Game Studios;windows;0;"Single-player;Multi-player;Co-op;Steam Workshop;Partial Controller Support";"Adventure;Indie;Simulation;Strategy;Early Access";"Early Access;Survival;Open World";0;11061;2777;495;739;500000-1000000;14.99;['Adventure', 'Indie', 'Simulation', 'Strategy', 'Early Access'];Strategy;0.7993207110854169;2015;6.20455776256869
299360;Block N Load;2015-04-30;1;"Toadman Interactive;Jagex;Artplant";"Toadman Interactive;Jagex";windows;0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Stats;Includes level editor";"Action;Free to Play;Massively Multiplayer;Strategy";"Free to Play;Action;Multiplayer";66;10856;3196;347;78;2000000-5000000;0.0;['Action', 'Free to Play', 'Massively Multiplayer', 'Strategy'];Strategy;0.7725590663250783;2015;5.849324779946859
236110;Dungeon Defenders II;2017-06-20;1;Trendy Entertainment;Trendy Entertainment;windows;0;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support";"Action;Free to Play;Indie;RPG;Strategy";"Free to Play;Tower Defense;Multiplayer";18;10766;3802;523;217;2000000-5000000;0.0;['Action', 'Free to Play', 'Indie', 'RPG', 'Strategy'];Strategy;0.7390170236133993;2017;6.259581464064923
